Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
ILECA1482-25_r_1.3_s_50_ILECA1482-25_fcleaner,ILECA1482-25,r_1.3_s_50_fcleaner,>ILECA1482-25_r_1.3_s_50_ILECA1482-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,675,null,null,29.0,81.0,53.32,53.0,0,91,14,0,0,100.0
ILECA1443-25_r_1.5_s_100_ILECA1443-25_fcleaner,ILECA1443-25,r_1.5_s_100_fcleaner,>ILECA1443-25_r_1.5_s_100_ILECA1443-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,819,null,null,32.0,110.0,57.21,54.0,0,25,13,0,0,100.0
ILECA1509-25_r_1.5_s_100_ILECA1509-25_fcleaner,ILECA1509-25,r_1.5_s_100_fcleaner,>ILECA1509-25_r_1.5_s_100_ILECA1509-25_fcleaner,1869668,QUQ05862.1,genus:Coleophora,null,3521,null,null,167.0,408.0,304.71,302.0,0,129,44,0,0,100.0
ILECA1488-25_r_1_s_50_ILECA1488-25_fcleaner,ILECA1488-25,r_1_s_50_fcleaner,>ILECA1488-25_r_1_s_50_ILECA1488-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1100,null,null,22.0,143.0,72.93,64.0,0,631,26,0,0,100.0
ILECA1457-25_r_1_s_50_ILECA1457-25_fcleaner,ILECA1457-25,r_1_s_50_fcleaner,>ILECA1457-25_r_1_s_50_ILECA1457-25_fcleaner,1869643,QUQ05862.1,genus:Coleophora,null,2957,null,null,160.0,319.0,237.0,233.5,0,351,59,0,0,100.0
ILECA1474-25_r_1_s_100_ILECA1474-25_fcleaner,ILECA1474-25,r_1_s_100_fcleaner,>ILECA1474-25_r_1_s_100_ILECA1474-25_fcleaner,1869720,QUQ05862.1,genus:Coleophora,null,448,null,null,5.0,68.0,31.72,29.0,0,38,6,0,0,100.0
ILECA1478-25_r_1.3_s_50_ILECA1478-25_fcleaner,ILECA1478-25,r_1.3_s_50_fcleaner,>ILECA1478-25_r_1.3_s_50_ILECA1478-25_fcleaner,1869627,QUQ05862.1,genus:Coleophora,null,1309,null,null,41.0,142.0,90.35,93.5,0,49,25,0,0,100.0
ILECA1428-25_r_1_s_100_ILECA1428-25_fcleaner,ILECA1428-25,r_1_s_100_fcleaner,>ILECA1428-25_r_1_s_100_ILECA1428-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,48,null,null,0.0,14.0,3.49,3.0,0,45,7,0,0,80.98
ILECA1428-25_r_1_s_50_ILECA1428-25_fcleaner,ILECA1428-25,r_1_s_50_fcleaner,>ILECA1428-25_r_1_s_50_ILECA1428-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,79,null,null,0.0,15.0,4.66,4.0,0,67,8,0,0,82.16
ILECA1439-25_r_1.5_s_50_ILECA1439-25_fcleaner,ILECA1439-25,r_1.5_s_50_fcleaner,>ILECA1439-25_r_1.5_s_50_ILECA1439-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,296,null,null,11.0,41.0,22.3,22.0,0,19,9,0,0,100.0
ILECA1506-25_r_1.3_s_50_ILECA1506-25_fcleaner,ILECA1506-25,r_1.3_s_50_fcleaner,>ILECA1506-25_r_1.3_s_50_ILECA1506-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,297,null,null,1.0,37.0,18.45,18.5,0,181,10,0,0,100.0
ILECA1428-25_r_1.5_s_100_ILECA1428-25_fcleaner,ILECA1428-25,r_1.5_s_100_fcleaner,>ILECA1428-25_r_1.5_s_100_ILECA1428-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,44,null,null,0.0,10.0,2.9,2.0,0,19,0,0,0,76.27
ILECA1516-25_r_1_s_50_ILECA1516-25_fcleaner,ILECA1516-25,r_1_s_50_fcleaner,>ILECA1516-25_r_1_s_50_ILECA1516-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,773,null,null,0.0,100.0,45.03,44.0,0,567,27,0,0,99.8
ILECA1501-25_r_1.3_s_50_ILECA1501-25_fcleaner,ILECA1501-25,r_1.3_s_50_fcleaner,>ILECA1501-25_r_1.3_s_50_ILECA1501-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,2304,null,null,84.0,269.0,160.2,158.0,0,101,36,0,0,100.0
ILECA1487-25_r_1.3_s_100_ILECA1487-25_fcleaner,ILECA1487-25,r_1.3_s_100_fcleaner,>ILECA1487-25_r_1.3_s_100_ILECA1487-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1054,null,null,28.0,130.0,76.03,77.0,0,53,19,0,0,100.0
ILECA1469-25_r_1.5_s_100_ILECA1469-25_fcleaner,ILECA1469-25,r_1.5_s_100_fcleaner,>ILECA1469-25_r_1.5_s_100_ILECA1469-25_fcleaner,2561118,QUQ05862.1,genus:Coleophora,null,2962,null,null,0.0,658.0,236.91,212.0,0,14,42,0,0,99.61
ILECA1497-25_r_1_s_50_ILECA1497-25_fcleaner,ILECA1497-25,r_1_s_50_fcleaner,>ILECA1497-25_r_1_s_50_ILECA1497-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,2064,null,null,65.0,199.0,139.36,141.5,0,165,44,0,0,100.0
ILECA1437-25_r_1.3_s_50_ILECA1437-25_fcleaner,ILECA1437-25,r_1.3_s_50_fcleaner,>ILECA1437-25_r_1.3_s_50_ILECA1437-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,552,null,null,14.0,60.0,38.61,40.0,0,55,8,0,0,100.0
ILECA1503-25_r_1.5_s_100_ILECA1503-25_fcleaner,ILECA1503-25,r_1.5_s_100_fcleaner,>ILECA1503-25_r_1.5_s_100_ILECA1503-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,985,null,null,37.0,107.0,70.11,70.0,0,19,16,0,0,100.0
