Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGSNL795-24_r_1_s_50_BGSNL795-24,BGSNL795-24,7371270,3105,300,1530,90.0,253.0,162.8843137254902,158.0
BGSNL830-24_r_1.3_s_50_BGSNL830-24,BGSNL830-24,7575178,5017,9,1530,149.0,405.0,254.2450980392157,247.5
BGSNL832-24_r_1_s_100_BGSNL832-24,BGSNL832-24,1470582,70,80,1530,0.0,21.0,5.652941176470589,3.0
BGSNL854-24_r_1_s_100_BGSNL854-24,BGSNL854-24,3344022,35,37,1530,0.0,10.0,2.2745098039215685,1.0
BGSNL781-24_r_1.3_s_100_BGSNL781-24,BGSNL781-24,6594685,700,135,1533,4.0,68.0,33.348336594911935,34.0
BGSNL813-24_r_1.5_s_100_BGSNL813-24,BGSNL813-24,7456867,2704,73,1533,80.0,294.0,163.81017612524462,158.0
BGSNL793-24_r_1.5_s_50_BGSNL793-24,BGSNL793-24,7692493,1841,6,1530,45.0,159.0,84.04509803921569,78.0
BGSNL843-24_r_1.3_s_50_BGSNL843-24,BGSNL843-24,7114354,3717,1,1533,76.0,316.0,167.37377690802347,160.0
BGSNL814-24_r_1.3_s_100_BGSNL814-24,BGSNL814-24,7029909,1009,2,1533,15.0,131.0,51.906066536203525,48.0
BGSNL786-24_r_1_s_50_BGSNL786-24,BGSNL786-24,6965046,2912,5,1533,80.0,220.0,146.92367906066536,148.0
BGSNL809-24_r_1.3_s_100_BGSNL809-24,BGSNL809-24,8743024,5078,28,1533,187.0,522.0,332.958904109589,320.0
BGSNL833-24_r_1.5_s_100_BGSNL833-24,BGSNL833-24,7740307,1331,2,1530,34.0,123.0,69.57843137254902,69.0
BGSNL764-24_r_1.3_s_100_BGSNL764-24,BGSNL764-24,7403309,4071,164,1506,68.0,460.0,264.88247011952194,258.0
BGSNL793-24_r_1.5_s_100_BGSNL793-24,BGSNL793-24,7692493,1186,6,1530,19.0,121.0,63.46470588235294,59.0
BGSNL770-24_r_1.3_s_100_BGSNL770-24,BGSNL770-24,7849664,2850,21,1533,45.0,254.0,143.1252446183953,140.0
BGSNL828-24_r_1.5_s_100_BGSNL828-24,BGSNL828-24,7667500,605,5,1530,8.0,61.0,29.49607843137255,28.5
BGSNL822-24_r_1.5_s_100_BGSNL822-24,BGSNL822-24,7793832,1612,97,1533,54.0,171.0,98.39530332681018,96.0
BGSNL770-24_r_1.3_s_50_BGSNL770-24,BGSNL770-24,7849664,5213,21,1533,107.0,377.0,216.91780821917808,212.0
BGSNL825-24_r_1.3_s_100_BGSNL825-24,BGSNL825-24,9163662,587,169,1533,7.0,49.0,30.15068493150685,31.0
BGSNL808-24_r_1.3_s_100_BGSNL808-24,BGSNL808-24,8038388,1557,11,1533,36.0,145.0,90.3894324853229,88.0
BGSNL850-24_r_1.5_s_50_BGSNL850-24,BGSNL850-24,7300490,4004,17,1533,65.0,365.0,173.49119373776907,164.0
BGSNL818-24_r_1.5_s_100_BGSNL818-24,BGSNL818-24,8430058,633,109,1533,10.0,66.0,32.5440313111546,30.0
BGSNL767-24_r_1_s_50_BGSNL767-24,BGSNL767-24,7423711,4206,240,1506,126.0,338.0,232.19123505976097,223.0
BGSNL849-24_r_1.3_s_100_BGSNL849-24,BGSNL849-24,5653635,781,107,1533,7.0,103.0,36.6908023483366,33.0
BGSNL843-24_r_1_s_100_BGSNL843-24,BGSNL843-24,7114354,2357,1,1533,36.0,213.0,124.12720156555773,118.0
BGSNL763-24_r_1.3_s_50_BGSNL763-24,BGSNL763-24,9001373,1296,131,1506,35.0,106.0,76.19123505976096,77.0
BGSNL805-24_r_1.5_s_50_BGSNL805-24,BGSNL805-24,7976482,1317,23,1530,25.0,120.0,59.71176470588235,54.0
BGSNL849-24_r_1.5_s_50_BGSNL849-24,BGSNL849-24,5653635,1841,107,1533,17.0,164.0,68.5440313111546,65.0
BGSNL762-24_r_1.3_s_100_BGSNL762-24,BGSNL762-24,3434941,334,134,1506,0.0,42.0,17.175298804780876,17.0
BGSNL812-24_r_1.3_s_50_BGSNL812-24,BGSNL812-24,8781829,2268,130,1533,64.0,213.0,120.74168297455968,112.0
BGSNL822-24_r_1_s_50_BGSNL822-24,BGSNL822-24,7793832,2186,97,1533,63.0,181.0,116.03522504892368,115.0
BGSNL814-24_r_1_s_50_BGSNL814-24,BGSNL814-24,7029909,2044,2,1533,31.0,178.0,84.68297455968688,75.0
BGSNL799-24_r_1.3_s_50_BGSNL799-24,BGSNL799-24,8694677,5376,110,1530,150.0,446.0,279.2372549019608,274.0
BGSNL825-24_r_1.5_s_100_BGSNL825-24,BGSNL825-24,9163662,575,169,1533,7.0,48.0,29.534246575342465,30.0
BGSNL833-24_r_1.5_s_50_BGSNL833-24,BGSNL833-24,7740307,2282,2,1530,41.0,176.0,99.22745098039216,97.0
BGSNL838-24_r_1.3_s_50_BGSNL838-24,BGSNL838-24,8998437,2140,39,1530,25.0,198.0,87.54509803921569,82.0
